"model","site","longitude","latitude","baseline","predicted","scenario","GCM"
"DGVM",175,-105.257,43.683,0.100931428571429,0.144973333333333,"rcp45","GISS-E2-H-CC"
"DGVM",175,-105.257,43.683,0.0979857142857143,0.168373333333333,"rcp85","GISS-E2-H-CC"
"DGVM",175,-105.257,43.683,0.103048571428571,0.126976666666667,"rcp45","HadGEM2-AO"
"DGVM",175,-105.257,43.683,0.10226,0.12734,"rcp85","HadGEM2-AO"
"DGVM",175,-105.257,43.683,0.109797142857143,0.162626666666667,"rcp45","MPI-ESM-LR"
"DGVM",175,-105.257,43.683,0.111662857142857,0.163746666666667,"rcp85","MPI-ESM-LR"
"DGVM",172,-105.257,43.691,0.144208571428571,0.162033333333333,"rcp45","CCSM4"
"DGVM",172,-105.257,43.691,0.143394285714286,0.205073333333333,"rcp85","CCSM4"
"DGVM",172,-105.257,43.691,0.136471428571429,0.17902,"rcp45","CESM1-CAM5"
"DGVM",172,-105.257,43.691,0.147054285714286,0.194613333333333,"rcp85","CESM1-CAM5"
"DGVM",172,-105.257,43.691,0.10448,0.157596666666667,"rcp45","GISS-E2-H-CC"
"DGVM",172,-105.257,43.691,0.102262857142857,0.190153333333333,"rcp85","GISS-E2-H-CC"
"DGVM",172,-105.257,43.691,0.0955828571428571,0.13018,"rcp45","HadGEM2-AO"
"DGVM",172,-105.257,43.691,0.09388,0.132333333333333,"rcp85","HadGEM2-AO"
"DGVM",172,-105.257,43.691,0.122731428571429,0.155686666666667,"rcp45","MPI-ESM-LR"
"DGVM",172,-105.257,43.691,0.125485714285714,0.20221,"rcp85","MPI-ESM-LR"
"DGVM",174,-105.274,43.683,0.133522857142857,0.148733333333333,"rcp45","CCSM4"
"DGVM",174,-105.274,43.683,0.131788571428571,0.201903333333333,"rcp85","CCSM4"
"DGVM",174,-105.274,43.683,0.127411428571429,0.17329,"rcp45","CESM1-CAM5"
"DGVM",174,-105.274,43.683,0.15228,0.21411,"rcp85","CESM1-CAM5"
"DGVM",174,-105.274,43.683,0.12292,0.16137,"rcp45","GISS-E2-H-CC"
"DGVM",174,-105.274,43.683,0.121817142857143,0.196483333333333,"rcp85","GISS-E2-H-CC"
"DGVM",174,-105.274,43.683,0.117142857142857,0.12581,"rcp45","HadGEM2-AO"
"DGVM",174,-105.274,43.683,0.114782857142857,0.14065,"rcp85","HadGEM2-AO"
"DGVM",174,-105.274,43.683,0.120131428571429,0.1565,"rcp45","MPI-ESM-LR"
"DGVM",174,-105.274,43.683,0.120814285714286,0.174263333333333,"rcp85","MPI-ESM-LR"
"DGVM",171,-105.274,43.691,0.140074285714286,0.174133333333333,"rcp45","CCSM4"
"DGVM",171,-105.274,43.691,0.140022857142857,0.193333333333333,"rcp85","CCSM4"
"DGVM",171,-105.274,43.691,0.126602857142857,0.185026666666667,"rcp45","CESM1-CAM5"
"DGVM",171,-105.274,43.691,0.149262857142857,0.215863333333333,"rcp85","CESM1-CAM5"
"DGVM",171,-105.274,43.691,0.10166,0.155076666666667,"rcp45","GISS-E2-H-CC"
"DGVM",171,-105.274,43.691,0.100334285714286,0.146693333333333,"rcp85","GISS-E2-H-CC"
"DGVM",171,-105.274,43.691,0.0873542857142857,0.127846666666667,"rcp45","HadGEM2-AO"
"DGVM",171,-105.274,43.691,0.0863057142857143,0.142616666666667,"rcp85","HadGEM2-AO"
"DGVM",171,-105.274,43.691,0.133002857142857,0.153986666666667,"rcp45","MPI-ESM-LR"
"DGVM",171,-105.274,43.691,0.134348571428571,0.172556666666667,"rcp85","MPI-ESM-LR"
"DGVM",169,-105.274,43.708,0.141362857142857,0.16578,"rcp45","CCSM4"
"DGVM",169,-105.274,43.708,0.14176,0.182056666666667,"rcp85","CCSM4"
"DGVM",169,-105.274,43.708,0.141574285714286,0.172336666666667,"rcp45","CESM1-CAM5"
"DGVM",169,-105.274,43.708,0.144914285714286,0.19685,"rcp85","CESM1-CAM5"
"DGVM",169,-105.274,43.708,0.10548,0.162583333333333,"rcp45","GISS-E2-H-CC"
"DGVM",169,-105.274,43.708,0.10212,0.19905,"rcp85","GISS-E2-H-CC"
"DGVM",169,-105.274,43.708,0.117877142857143,0.120813333333333,"rcp45","HadGEM2-AO"
"DGVM",169,-105.274,43.708,0.116165714285714,0.140576666666667,"rcp85","HadGEM2-AO"
"DGVM",169,-105.274,43.708,0.129628571428571,0.17487,"rcp45","MPI-ESM-LR"
"DGVM",169,-105.274,43.708,0.130674285714286,0.215056666666667,"rcp85","MPI-ESM-LR"
"DGVM",176,-105.282,43.666,0.163362857142857,0.158756666666667,"rcp45","CCSM4"
"DGVM",176,-105.282,43.666,0.162271428571429,0.18731,"rcp85","CCSM4"
"DGVM",176,-105.282,43.666,0.132634285714286,0.17389,"rcp45","CESM1-CAM5"
