"longitude","latitude","model","var","mag","baseline","predicted"
-107.0326,38.8827,"DGVM-full-400ppm","ppt",1.1,0,0
-107.0326,38.8827,"DGVM-full-400ppm","ppt",0.9,0,0
-107.0326,38.8827,"DGVM-full-400ppm","tmean",4,0,0.0290533333333333
-107.0326,38.8827,"DGVM-full-400ppm","ppt",1.2,0,0
-107.0326,38.8827,"DGVM-full-400ppm","tmean",0.2,0,0
-107.0326,38.8827,"DGVM-full-400ppm","tmean",2,0,0
-107.0826,38.3911,"DGVM-full-400ppm","ppt",0.9,0,7.66666666666667e-05
-107.0826,38.3911,"DGVM-full-400ppm","ppt",1.2,0,0
-107.0826,38.3911,"DGVM-full-400ppm","tmean",0.2,0,0.000153333333333333
-107.0826,38.3911,"DGVM-full-400ppm","ppt",1.1,0,0
-107.0826,38.3911,"DGVM-full-400ppm","tmean",4,0,0.108236666666667
-107.0826,38.3911,"DGVM-full-400ppm","tmean",2,0,0.251663333333333
-107.0993,38.2744,"DGVM-full-400ppm","ppt",0.9,0.23075,0.199526666666667
-107.0993,38.2744,"DGVM-full-400ppm","tmean",4,0.23075,0.113513333333333
-107.0993,38.2744,"DGVM-full-400ppm","ppt",1.1,0.23075,0.232493333333333
-107.0993,38.2744,"DGVM-full-400ppm","ppt",1.2,0.23075,0.26417
-107.0993,38.2744,"DGVM-full-400ppm","tmean",0.2,0.23075,0.227083333333333
-107.0993,38.2744,"DGVM-full-400ppm","tmean",2,0.23075,0.200613333333333
-107.0993,38.4827,"DGVM-full-400ppm","ppt",0.9,0.1237,0.144756666666667
-107.0993,38.4827,"DGVM-full-400ppm","ppt",1.1,0.1237,0.197236666666667
-107.0993,38.4827,"DGVM-full-400ppm","ppt",1.2,0.1237,0.216156666666667
-107.0993,38.4827,"DGVM-full-400ppm","tmean",0.2,0.1237,0.171896666666667
-107.0993,38.4827,"DGVM-full-400ppm","tmean",4,0.1237,0.07492
-107.0993,38.4827,"DGVM-full-400ppm","tmean",2,0.1237,0.06301
-107.1243,38.4744,"DGVM-full-400ppm","ppt",0.9,0.15535,0.169113333333333
-107.1243,38.4744,"DGVM-full-400ppm","tmean",4,0.15535,0.0800333333333333
-107.1243,38.4744,"DGVM-full-400ppm","ppt",1.1,0.15535,0.234026666666667
-107.1243,38.4744,"DGVM-full-400ppm","tmean",0.2,0.15535,0.179163333333333
-107.1243,38.4744,"DGVM-full-400ppm","tmean",2,0.15535,0.0666333333333333
-107.1243,38.4744,"DGVM-full-400ppm","ppt",1.2,0.15535,0.228896666666667
-107.1409,38.4661,"DGVM-full-400ppm","ppt",0.9,0.21547,0.1695
-107.1409,38.4661,"DGVM-full-400ppm","ppt",1.2,0.21547,0.220946666666667
-107.1409,38.4661,"DGVM-full-400ppm","ppt",1.1,0.21547,0.18599
-107.1409,38.4661,"DGVM-full-400ppm","tmean",0.2,0.21547,0.19703
-107.1409,38.4661,"DGVM-full-400ppm","tmean",2,0.21547,0.06428
-107.1409,38.4661,"DGVM-full-400ppm","tmean",4,0.21547,0.0832466666666667
-107.1409,38.4744,"DGVM-full-400ppm","ppt",1.1,0.176106666666667,0.222916666666667
-107.1409,38.4744,"DGVM-full-400ppm","tmean",4,0.176106666666667,0.0869633333333333
-107.1409,38.4744,"DGVM-full-400ppm","ppt",1.2,0.176106666666667,0.2196
-107.1409,38.4744,"DGVM-full-400ppm","ppt",0.9,0.176106666666667,0.16808
-107.1409,38.4744,"DGVM-full-400ppm","tmean",0.2,0.176106666666667,0.185083333333333
-107.1409,38.4744,"DGVM-full-400ppm","tmean",2,0.176106666666667,0.0643
-107.1493,38.4744,"DGVM-full-400ppm","ppt",0.9,0.207836666666667,0.172506666666667
-107.1493,38.4744,"DGVM-full-400ppm","tmean",0.2,0.207836666666667,0.179946666666667
-107.1493,38.4744,"DGVM-full-400ppm","ppt",1.1,0.207836666666667,0.207873333333333
-107.1493,38.4744,"DGVM-full-400ppm","ppt",1.2,0.207836666666667,0.242693333333333
-107.1493,38.4744,"DGVM-full-400ppm","tmean",2,0.207836666666667,0.0746133333333333
-107.1493,38.4744,"DGVM-full-400ppm","tmean",4,0.207836666666667,0.0856366666666667
-107.1826,38.4494,"DGVM-full-400ppm","ppt",0.9,0.169,0.19888
-107.1826,38.4494,"DGVM-full-400ppm","ppt",1.1,0.169,0.213516666666667
-107.1826,38.4494,"DGVM-full-400ppm","ppt",1.2,0.169,0.275786666666667
-107.1826,38.4494,"DGVM-full-400ppm","tmean",0.2,0.169,0.225033333333333
-107.1826,38.4494,"DGVM-full-400ppm","tmean",2,0.169,0.118186666666667
-107.1826,38.4494,"DGVM-full-400ppm","tmean",4,0.169,0.107206666666667
-107.1826,38.4661,"DGVM-full-400ppm","ppt",0.9,0.164756666666667,0.164126666666667
-107.1826,38.4661,"DGVM-full-400ppm","ppt",1.1,0.164756666666667,0.249586666666667
-107.1826,38.4661,"DGVM-full-400ppm","ppt",1.2,0.164756666666667,0.25461
-107.1826,38.4661,"DGVM-full-400ppm","tmean",0.2,0.164756666666667,0.19063
-107.1826,38.4661,"DGVM-full-400ppm","tmean",4,0.164756666666667,0.0856333333333333
-107.1826,38.4661,"DGVM-full-400ppm","tmean",2,0.164756666666667,0.0780133333333333
-107.1993,38.4661,"DGVM-full-400ppm","ppt",1.1,0.165476666666667,0.21671
-107.1993,38.4661,"DGVM-full-400ppm","ppt",0.9,0.165476666666667,0.150433333333333
-107.1993,38.4661,"DGVM-full-400ppm","ppt",1.2,0.165476666666667,0.22124
-107.1993,38.4661,"DGVM-full-400ppm","tmean",0.2,0.165476666666667,0.168246666666667
-107.1993,38.4661,"DGVM-full-400ppm","tmean",4,0.165476666666667,0.09463
-107.1993,38.4661,"DGVM-full-400ppm","tmean",2,0.165476666666667,0.0734433333333333
-107.2076,38.4494,"DGVM-full-400ppm","ppt",1.2,0.208976666666667,0.25447
-107.2076,38.4494,"DGVM-full-400ppm","tmean",4,0.208976666666667,0.108026666666667
-107.2076,38.4494,"DGVM-full-400ppm","tmean",0.2,0.208976666666667,0.23273
-107.2076,38.4494,"DGVM-full-400ppm","ppt",1.1,0.208976666666667,0.221713333333333
-107.2076,38.4494,"DGVM-full-400ppm","tmean",2,0.208976666666667,0.15693
-107.2076,38.4494,"DGVM-full-400ppm","ppt",0.9,0.208976666666667,0.19464
-107.2159,38.4661,"DGVM-full-400ppm","ppt",1.2,0.191746666666667,0.195926666666667
-107.2159,38.4661,"DGVM-full-400ppm","ppt",0.9,0.191746666666667,0.18235
-107.2159,38.4661,"DGVM-full-400ppm","tmean",4,0.191746666666667,0.0938266666666667
-107.2159,38.4661,"DGVM-full-400ppm","tmean",0.2,0.191746666666667,0.18591
-107.2159,38.4661,"DGVM-full-400ppm","ppt",1.1,0.191746666666667,0.19551
-107.2159,38.4661,"DGVM-full-400ppm","tmean",2,0.191746666666667,0.0800633333333333
-107.2159,38.4827,"DGVM-full-400ppm","tmean",0.2,0.234376666666667,0.217673333333333
-107.2159,38.4827,"DGVM-full-400ppm","ppt",0.9,0.234376666666667,0.19271
-107.2159,38.4827,"DGVM-full-400ppm","ppt",1.2,0.234376666666667,0.252373333333333
-107.2159,38.4827,"DGVM-full-400ppm","ppt",1.1,0.234376666666667,0.22534
-107.2159,38.4827,"DGVM-full-400ppm","tmean",4,0.234376666666667,0.0865933333333333
-107.2159,38.4827,"DGVM-full-400ppm","tmean",2,0.234376666666667,0.111936666666667
-107.2326,38.4161,"DGVM-full-400ppm","ppt",0.9,0.250633333333333,0.19019
-107.2326,38.4161,"DGVM-full-400ppm","ppt",1.2,0.250633333333333,0.254413333333333
-107.2326,38.4161,"DGVM-full-400ppm","ppt",1.1,0.250633333333333,0.229996666666667
-107.2326,38.4161,"DGVM-full-400ppm","tmean",2,0.250633333333333,0.213046666666667
-107.2326,38.4161,"DGVM-full-400ppm","tmean",0.2,0.250633333333333,0.23824
-107.2326,38.4161,"DGVM-full-400ppm","tmean",4,0.250633333333333,0.0963766666666667
