model ,site,lon,lat,baseline,predicted,scenario
randfor,14,-109.4346188,41.89358122,1.93088,5.3176398,2inctemp
randfor,14,-109.4346188,41.89358122,1.93088,15.0236998,4inctemp
randfor,14,-109.4346188,41.89358122,1.93088,2.57829,ppt10dec
randfor,14,-109.4346188,41.89358122,1.93088,8.4709797,ppt10inc
randfor,14,-109.4346188,41.89358122,1.93088,7.9482899,ppt20inc
randfor,15,-109.2606188,42.17408122,11.3576002,11.3779001,02inctemp
randfor,15,-109.2606188,42.17408122,11.3576002,12.4903002,2inctemp
randfor,15,-109.2606188,42.17408122,11.3576002,12.7931995,4inctemp
randfor,15,-109.2606188,42.17408122,11.3576002,11.2679005,ppt10dec
randfor,15,-109.2606188,42.17408122,11.3576002,13.9863005,ppt10inc
randfor,15,-109.2606188,42.17408122,11.3576002,20.7159004,ppt20inc
randfor,16,-109.2954188,42.00578122,7.0284801,5.1900601,02inctemp
randfor,16,-109.2954188,42.00578122,7.0284801,7.5294399,2inctemp
randfor,16,-109.2954188,42.00578122,7.0284801,13.7018995,4inctemp
randfor,16,-109.2954188,42.00578122,7.0284801,7.0509,ppt10dec
randfor,16,-109.2954188,42.00578122,7.0284801,8.6337099,ppt10inc
randfor,16,-109.2954188,42.00578122,7.0284801,10.6998997,ppt20inc
randfor,17,-109.2606188,41.99643122,2.5957501,3.1410501,02inctemp
randfor,17,-109.2606188,41.99643122,2.5957501,7.0629902,2inctemp
randfor,17,-109.2606188,41.99643122,2.5957501,13.1445999,4inctemp
randfor,17,-109.2606188,41.99643122,2.5957501,4.6834202,ppt10dec
randfor,17,-109.2606188,41.99643122,2.5957501,7.4553599,ppt10inc
randfor,17,-109.2606188,41.99643122,2.5957501,10.0696001,ppt20inc
randfor,18,-109.2490188,41.99643122,0.487419,1.41623,02inctemp
randfor,18,-109.2490188,41.99643122,0.487419,6.4650698,2inctemp
randfor,18,-109.2490188,41.99643122,0.487419,13.9464998,4inctemp
randfor,18,-109.2490188,41.99643122,0.487419,3.0411799,ppt10dec
randfor,18,-109.2490188,41.99643122,0.487419,7.7526202,ppt10inc
randfor,18,-109.2490188,41.99643122,0.487419,9.4740496,ppt20inc
randfor,19,-109.3070188,41.98708122,2.92293,3.0176699,02inctemp
randfor,19,-109.3070188,41.98708122,2.92293,6.8255301,2inctemp
randfor,19,-109.3070188,41.98708122,2.92293,12.8697004,4inctemp
randfor,19,-109.3070188,41.98708122,2.92293,4.61063,ppt10dec
randfor,19,-109.3070188,41.98708122,2.92293,7.07445,ppt10inc
randfor,19,-109.3070188,41.98708122,2.92293,9.4682102,ppt20inc
randfor,20,-109.2954188,41.98708122,2.5137701,2.8449399,02inctemp
