"longitude","latitude","LT_data","extra","outlier","climate","rings","Comp.1","Comp.2","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","site"
-109.747818792539,42.4919812209583,1,0,0,"cold.Psummer","mid",1.4136625663676,-5.22145291400936,18,180,38,9609,263,-202,465,116,-108,141,-108,242,35,12,32,87,40,75,40,33
-109.701418792539,42.4919812209583,1,0,0,"cold.Psummer","mid",1.41025966169345,-5.13642040855413,19,179,38,9577,262,-201,463,116,-107,141,-107,245,35,12,32,87,40,75,40,34
-109.666618792539,42.4919812209583,1,0,0,"cold.Psummer","mid",1.41175591489831,-5.03657763988484,19,178,38,9543,261,-199,460,116,-106,141,-106,246,35,12,32,88,40,75,40,35
-109.724618792539,42.4826312209583,1,0,0,"cold.Psummer","mid",1.30848409953265,-5.23371652581071,19,180,38,9623,263,-202,465,117,-107,142,-107,239,35,12,35,87,38,74,38,36
-109.678218792539,42.4826312209583,1,0,0,"cold.Psummer","mid",1.40010958597731,-5.09282480238822,19,178,38,9568,262,-200,462,116,-107,141,-107,244,35,12,31,87,40,74,40,37
-109.666618792539,42.4826312209583,1,0,0,"cold.Psummer","mid",1.45577830403739,-5.08959082433891,18,178,38,9551,261,-200,461,115,-107,141,-107,247,35,12,32,88,40,76,40,38
-109.747818792539,42.4732812209583,1,0,0,"cold.Psummer","mid",1.1977333939525,-5.40234846019571,19,181,38,9685,265,-203,468,118,-108,143,-108,237,34,11,34,86,37,74,37,39
-109.736218792539,42.4732812209583,1,0,0,"cold.Psummer","mid",1.23864844574677,-5.32786085287711,19,180,38,9668,264,-203,467,117,-108,143,-108,238,35,11,35,87,37,74,37,40
-109.701418792539,42.4732812209583,1,0,0,"cold.Psummer","mid",1.23064624324014,-5.28069428717444,19,180,38,9627,264,-202,466,117,-107,142,-107,238,35,11,35,87,37,74,37,41
-109.689818792539,42.4732812209583,1,0,0,"cold.Psummer","mid",1.29795041837682,-5.25180592989007,19,179,38,9648,264,-201,465,118,-107,143,-107,240,35,12,33,87,38,74,38,42
-109.666618792539,42.4732812209583,1,1,0,"cold.Psummer","mid",1.46583867604237,-5.04758142964201,18,177,38,9559,260,-199,459,115,-107,141,-107,247,35,12,32,88,40,76,40,43
-109.655018792539,42.4732812209583,1,0,0,"cold.Psummer","mid",1.41901824585255,-5.09960658225369,19,178,38,9589,262,-200,462,116,-107,141,-107,246,35,12,32,88,40,75,40,44
-109.747818792539,42.4639312209583,1,0,0,"cold.Psummer","mid",1.17575021136903,-5.37916627347049,20,181,38,9660,265,-203,468,118,-107,143,-107,237,34,11,34,86,37,74,37,45
-109.678218792539,42.4639312209583,1,0,0,"cold.Psummer","mid",1.37130837273981,-5.15829262454851,19,179,38,9626,263,-201,464,117,-107,142,-107,243,35,12,32,87,40,74,40,46
-109.666618792539,42.4639312209583,1,0,0,"cold.Psummer","mid",1.45347343076628,-5.07233455072353,18,177,38,9577,261,-199,460,116,-107,141,-107,247,35,12,32,88,40,76,40,47
-109.747818792539,42.4545812209583,1,0,0,"cold.Psummer","mid",1.16430909209669,-5.39270303163017,20,181,38,9660,266,-203,469,118,-107,143,-107,237,34,11,34,86,37,74,37,48
