longitude,latitude,site
-113.508,39.316,146
-113.366,44.716,211
-113.333,45.766,287
-113.275,32.157,580
-113.225,34.124,498
-113.133,42.866,341
-113.041,37.449,572
-113.041,41.816,265
-113.041,42.15,351
-113.041,44.641,322
-113.008,35.783,532
-112.9,43.608,153
-112.891,39.849,262
-112.883,39.833,264
-112.883,39.849,263
-112.833,34.116,583
-112.791,38.199,308
-112.733,40.483,328
-112.733,45.791,278
-112.708,40.05,305
-112.708,40.058,261
-112.683,40.058,304
-112.674,36.441,365
-112.674,40.075,303
-112.658,40.583,383
-112.65,43.525,267
-112.624,40.249,335
-112.624,40.266,334
-112.616,41.624,349
-112.591,36.408,364
-112.575,33.883,581
-112.575,41.691,348
-112.566,33.958,634
-112.558,46.266,358
-112.533,41.866,352
-112.516,33.883,633
-112.466,40.2,387
-112.466,40.233,386
-112.466,43.45,309
-112.424,45.658,319
-112.408,36.149,458
-112.391,39.774,329
-112.383,36.133,460
-112.366,36.166,457
-112.366,39.774,338
-112.349,36.141,459
-112.349,36.149,531
-112.349,40.124,345
-112.333,40.124,337
-112.324,40.133,336
-112.308,36.099,461
-112.299,36.091,462
-112.291,36.074,463
-112.291,43.775,157
-112.274,40.183,380
-112.249,36.049,464
-112.249,40.266,385
-112.249,40.275,482
-112.216,36.024,465
-112.116,39.483,330
-112.116,40.441,623
-112.099,33.749,632
-112.099,40.408,556
-112.099,40.416,571
-112.091,40.416,550
-112.091,40.441,624
-112.083,40.408,557
-112.083,40.416,551
-112.083,40.425,567
-112.083,40.433,615
-112.066,39.274,339
-112.066,39.666,381
-112.066,40.416,552
-112.066,40.425,568
-112.066,40.433,565
-112.058,38.983,347
-112.058,40.425,569
-112.058,40.458,622
-112.041,39.666,388
-112.041,40.408,558
-112.041,40.433,545
-112.041,40.441,563
-112.041,45.475,359
-112.033,40.4,561
-112.033,40.416,553
-112.033,40.425,547
-112.033,40.458,613
-112.024,40.391,481
-112.024,40.4,478
-112.024,40.408,473
-112.024,40.416,471
-112.024,40.425,570
-112.024,40.433,619
-112.024,40.441,618
-112.008,40.4,479
-112.008,40.408,474
-112.008,40.425,626
-112.008,40.433,625
-112.008,40.441,614
-111.999,40.4,480
-111.999,40.408,475
-111.999,40.416,554
-111.983,40.408,559
-111.983,40.425,620
-111.983,40.433,616
-111.983,40.441,543
-111.974,40.408,560
-111.974,40.433,566
-111.974,40.441,564
-111.966,40.408,476
-111.966,40.416,555
-111.966,40.425,548
-111.966,40.441,544
-111.949,40.4,455
-111.949,40.408,477
-111.949,40.416,472
-111.949,40.425,549
-111.949,40.433,546
-111.949,40.441,540
-111.941,40.425,470
-111.941,40.433,469
-111.941,45.441,403
-111.933,39.308,331
-111.916,40.425,384
-111.874,45.016,402
-111.849,45.091,401
-111.816,40.958,680
-111.791,44.316,397
-111.791,44.8,492
-111.758,33.941,668
-111.758,39.833,667
-111.741,39.824,651
-111.716,44.225,396
-111.683,46.35,357
-111.591,44.741,490
-111.558,32.916,497
-111.558,40.558,691
-111.533,40.616,693
-111.524,40.616,704
-111.508,40.599,692
-111.441,36.824,296
-111.374,41.391,575
-111.349,41.741,355
-111.341,39.866,576
-111.241,39.674,488
-111.199,40.408,666
-111.174,39.599,578
-111.083,38.941,151
-111.083,40.091,630
-110.966,40.841,650
-110.958,41.749,229
-110.799,41.641,223
-110.783,38.208,147
-110.749,45.6,491
-110.724,45.258,493
-110.708,39.141,63
-110.691,45.066,360
-110.666,45.075,361
-110.649,46.491,400
-110.633,41.499,185
-110.616,46.466,356
-110.499,41.874,132
-110.491,41.866,221
-110.491,41.874,133
-110.491,41.883,129
-110.491,41.891,215
-110.491,41.916,212
-110.483,41.874,134
-110.483,41.891,216
-110.483,41.9,214
-110.483,41.916,213
-110.483,41.925,225
-110.483,41.933,224
-110.466,41.874,135
-110.466,41.883,218
-110.466,41.891,228
-110.466,41.9,227
-110.466,41.916,226
-110.458,41.883,219
-110.458,41.891,217
-110.441,41.933,117
-110.433,41.858,222
-110.433,41.866,108
-110.433,41.883,220
-110.433,41.891,126
-110.433,41.916,121
-110.424,41.866,109
-110.424,41.874,106
-110.424,41.883,130
-110.424,41.891,127
-110.424,41.9,124
-110.424,41.916,122
-110.424,41.925,120
-110.408,41.874,107
-110.408,41.883,131
-110.408,41.891,128
-110.408,41.9,125
-110.408,41.916,123
-110.408,41.933,102
-110.341,39.649,489
-110.249,40.941,398
-110.116,35.749,327
-110.041,42.008,2
-109.991,37.624,332
-109.933,42.641,26
-109.866,38.991,148
-109.849,39.508,314
-109.841,42.158,3
-109.808,41.166,161
-109.774,38.158,298
-109.774,40.308,11
-109.749,38.158,299
-109.749,42.441,52
-109.749,42.458,48
-109.749,42.466,45
-109.749,42.474,39
-109.749,42.491,33
-109.749,42.499,27
-109.733,42.433,55
-109.733,42.474,40
-109.733,42.499,28
-109.724,42.433,56
-109.724,42.441,53
-109.724,42.458,49
-109.724,42.483,36
-109.724,42.499,29
-109.716,42.433,57
-109.716,42.458,50
-109.699,42.458,51
-109.699,42.474,41
-109.699,42.491,34
-109.699,42.499,30
-109.691,42.433,58
-109.691,42.474,42
-109.691,42.499,31
-109.674,42.433,59
-109.674,42.441,54
-109.674,42.466,46
-109.674,42.483,37
-109.666,42.433,60
-109.666,42.466,47
-109.666,42.474,43
-109.666,42.483,38
-109.666,42.491,35
-109.666,42.499,32
-109.658,37.416,297
-109.658,42.433,61
-109.658,42.474,44
-109.583,40.291,1
-109.466,42.158,4
-109.433,41.891,14
-109.308,40.491,76
-109.308,41.858,110
-109.308,41.933,103
-109.308,41.95,98
-109.308,41.991,19
-109.299,41.933,118
-109.299,41.974,22
-109.299,41.991,20
-109.299,42.008,16
-109.283,41.941,115
-109.283,41.95,113
-109.283,41.974,23
-109.283,42.474,111
-109.274,41.941,116
-109.274,41.95,114
-109.274,41.974,94
-109.258,41.933,119
-109.258,41.958,112
-109.258,41.966,96
-109.258,41.974,95
-109.258,41.999,17
-109.258,42.175,15
-109.249,40.416,10
-109.249,41.933,104
-109.249,41.941,100
-109.249,41.958,97
-109.249,41.966,24
-109.249,41.991,21
-109.249,41.999,18
-109.241,41.933,105
-109.241,41.941,101
-109.241,41.95,99
-109.241,41.966,25
-109.224,41.933,84
-109.183,40.508,9
-109.166,39.866,80
-109.083,37.391,302
-109.074,40.491,285
-109.066,40.499,284
-109.049,40.508,283
-109.041,37.324,300
-109.041,40.466,164
