"","STATE","SOURCE","LATITUDE","LONGITUDE","SUB.SPP","Year"
"45551","Nevada","VegBank",41.1742221720701,-113.911981205816,"Absence of ATTR",2002
"45552","Nevada","VegBank",41.2426267264444,-113.916222910726,"Absence of ATTR",2002
"45553","Utah","VegBank",41.2953489025441,-113.92051807575,"Absence of ATTR",2002
"45554","Utah","VegBank",41.3175725696306,-113.880309526226,"Absence of ATTR",2002
"45555","Utah","VegBank",41.3392812272496,-113.936797115076,"Absence of ATTR",2002
"45556","Utah","VegBank",41.3325241824162,-113.9820409997,"Absence of ATTR",2002
"45557","Utah","VegBank",38.8674191587376,-109.560843215971,"Absence of ATTR",2003
"45558","Utah","VegBank",38.8591453214535,-109.547583764768,"Absence of ATTR",2003
"45559","Utah","VegBank",38.8432776354842,-109.513224957795,"Absence of ATTR",2003
"45560","Utah","VegBank",38.8375860912524,-109.505716400239,"Absence of ATTR",2003
"45561","Utah","VegBank",38.8320059026515,-109.500602897821,"Absence of ATTR",2003
"45562","Utah","VegBank",38.8221593891393,-109.497987352647,"Absence of ATTR",2003
"45563","Utah","VegBank",38.8205434220544,-109.50337736793,"Absence of ATTR",2003
"45564","Utah","VegBank",38.8155237212253,-109.512512220413,"Absence of ATTR",2003
"45565","Utah","VegBank",38.8210553594298,-109.487828170672,"Absence of ATTR",2003
"45566","Utah","VegBank",38.8175885501377,-109.478284004016,"Absence of ATTR",2003
"45567","Utah","VegBank",38.8138129045281,-109.469300216486,"Absence of ATTR",2003
"45568","Utah","VegBank",38.8115736160339,-109.451830863797,"Absence of ATTR",2003
"45569","Utah","VegBank",38.8184980324446,-109.43924141646,"Absence of ATTR",2003
"45570","Utah","VegBank",38.8318387915856,-109.467531729666,"Absence of ATTR",2003
"45571","Utah","VegBank",38.8458666264385,-109.459810286391,"Absence of ATTR",2003
"45572","Utah","VegBank",38.8532267288053,-109.453520926867,"Absence of ATTR",2003
"45573","Utah","VegBank",38.887024321195,-109.432347054121,"Absence of ATTR",2003
"45574","Utah","VegBank",38.9029132910258,-109.425170823697,"Absence of ATTR",2003
"45575","Utah","VegBank",38.9135871760807,-109.430909226668,"Absence of ATTR",2003
"45576","Utah","VegBank",38.9255079211257,-109.436921854202,"Absence of ATTR",2003
"45577","Utah","VegBank",38.9306414966624,-109.419954705686,"Absence of ATTR",2003
"45578","Utah","VegBank",38.960495462981,-110.295849061456,"Absence of ATTR",2003
"45579","Utah","VegBank",38.8877743333472,-110.356825744098,"Absence of ATTR",2003
"45580","Utah","VegBank",38.8680413256317,-110.365464633356,"Absence of ATTR",2003
"45581","Utah","VegBank",38.8586677851781,-110.373523843136,"Absence of ATTR",2003
"45582","Utah","VegBank",38.8352146726711,-110.393063605297,"Absence of ATTR",2003
"45583","Utah","VegBank",38.7026217368833,-110.505144825642,"Absence of ATTR",2003
"45584","Utah","VegBank",38.606905626179,-110.565935187748,"Absence of ATTR",2003
"45585","Utah","VegBank",38.589297185823,-110.549391072282,"Absence of ATTR",2003
"45586","Utah","VegBank",38.5868662709571,-110.529347195945,"Absence of ATTR",2003
"45587","Utah","VegBank",38.5876216910894,-110.490222655686,"Absence of ATTR",2003
"45588","Utah","VegBank",38.5900574725599,-110.46063750406,"Absence of ATTR",2003
"45589","Utah","VegBank",38.5899456648656,-110.446342373736,"Absence of ATTR",2003
"45590","Utah","VegBank",38.6494227961452,-110.469526562693,"Absence of ATTR",2003
"45591","Utah","VegBank",38.6431147207491,-110.461666844914,"Absence of ATTR",2003
"45592","Utah","VegBank",38.5298111724227,-110.175696568622,"Absence of ATTR",2003
"45593","Utah","VegBank",38.5879048115108,-110.15097850768,"Absence of ATTR",2003
"45594","Utah","VegBank",38.6035244793013,-110.153780524202,"Absence of ATTR",2003
"45595","Utah","VegBank",38.6208962163199,-110.155873953204,"Absence of ATTR",2003
"45596","Utah","VegBank",38.6573815512289,-110.166755210481,"Absence of ATTR",2003
"45597","Utah","VegBank",38.6611636625672,-110.181664634043,"Absence of ATTR",2003
"45598","Utah","VegBank",38.6613283482225,-110.196305704962,"Absence of ATTR",2003
"45599","Utah","VegBank",38.6373173283505,-110.195746491171,"Absence of ATTR",2003
"45600","Utah","VegBank",38.6351910021866,-110.209017633689,"Absence of ATTR",2003
"45601","Utah","VegBank",37.8360373865478,-109.645551211947,"Absence of ATTR",2003
"45602","Utah","VegBank",37.8331880960895,-109.650148754969,"Absence of ATTR",2003
"45603","Utah","VegBank",37.7704525353434,-109.651064932157,"Absence of ATTR",2003
"45604","Utah","VegBank",37.8326191525706,-109.667465490329,"Absence of ATTR",2003
"45605","Utah","VegBank",37.8318291116337,-109.66933193085,"Absence of ATTR",2003
"45606","Utah","VegBank",37.830434202158,-109.67031152222,"Absence of ATTR",2003
"45607","Utah","VegBank",37.830651867617,-109.683272849791,"Absence of ATTR",2003
"45608","Utah","VegBank",37.8319087550549,-109.687682137458,"Absence of ATTR",2003
"45609","Utah","VegBank",37.8319240987399,-109.695556605509,"Absence of ATTR",2003
"45610","Utah","VegBank",37.8442537419948,-109.695589051872,"Absence of ATTR",2003
"45611","Utah","VegBank",37.8538397286481,-109.694465029264,"Absence of ATTR",2003
"45612","Utah","VegBank",37.8241019835189,-109.708726885591,"Absence of ATTR",2003
"45613","Utah","VegBank",37.8252445025607,-109.722591631496,"Absence of ATTR",2003
"45614","Utah","VegBank",37.8288702763761,-109.725335608465,"Absence of ATTR",2003
"45615","Utah","VegBank",37.8407217614321,-109.73367743006,"Absence of ATTR",2003
"45616","Utah","VegBank",37.8417409173068,-109.732068892345,"Absence of ATTR",2003
"45617","Utah","VegBank",37.8447723352581,-109.763737290979,"Absence of ATTR",2003
"45618","Utah","VegBank",37.8394295007596,-109.775111540649,"Absence of ATTR",2003
"45619","Utah","VegBank",37.8738061774363,-109.789276389667,"Absence of ATTR",2003
"45620","Utah","VegBank",37.8835202528714,-109.791755126388,"Absence of ATTR",2003
"45621","Utah","VegBank",37.8937265432443,-109.784263851998,"Absence of ATTR",2003
"45622","Utah","VegBank",37.9000802732772,-109.788617626435,"Absence of ATTR",2003
"45623","Utah","VegBank",37.9080486396678,-109.786985186687,"Absence of ATTR",2003
"45624","Utah","VegBank",37.9039149933804,-109.779443739357,"Absence of ATTR",2003
"45625","Utah","VegBank",37.9041439497011,-109.769407719858,"Absence of ATTR",2003
"45626","Utah","VegBank",37.9064001912646,-109.771428886101,"Absence of ATTR",2003
"45627","Utah","VegBank",37.9088819794829,-109.75971663491,"Absence of ATTR",2003
"45628","Utah","VegBank",37.9048931966766,-109.763503213224,"Absence of ATTR",2003
"45629","Utah","VegBank",37.9107701020771,-109.791331323861,"Absence of ATTR",2003
"45630","Utah","VegBank",37.8235906990061,-109.770454249621,"Absence of ATTR",2003
"45631","Utah","VegBank",37.7661241946424,-109.772941211594,"Absence of ATTR",2003
"45632","Utah","VegBank",37.8094172160031,-109.775120184461,"Absence of ATTR",2003
"45633","Utah","VegBank",37.7871406842082,-109.778884387006,"Absence of ATTR",2003
"45634","Utah","VegBank",37.7683815733361,-109.769883800356,"Absence of ATTR",2003
"45635","Utah","VegBank",37.7590287328513,-109.7683930172,"Absence of ATTR",2003
"45636","Utah","VegBank",37.7558490649309,-109.768570722507,"Absence of ATTR",2003
"45637","Utah","VegBank",37.7478463773416,-109.756615492033,"Absence of ATTR",2003
"45638","Utah","VegBank",37.744629142078,-109.762639315701,"Absence of ATTR",2003
"45639","Utah","VegBank",37.7397102523985,-109.76283468332,"Absence of ATTR",2003
"45640","Utah","VegBank",37.7312683370538,-109.768285902286,"Absence of ATTR",2003
"45641","Utah","VegBank",37.731682113798,-109.762185259082,"Absence of ATTR",2003
"45642","Utah","VegBank",37.731635761507,-109.758634160862,"Absence of ATTR",2003
"45643","Utah","VegBank",37.7256554368282,-109.76675624803,"Absence of ATTR",2003
"45644","Utah","VegBank",37.7292073174033,-109.774617882371,"Absence of ATTR",2003
"45645","Utah","VegBank",37.724533582863,-109.792463917427,"Absence of ATTR",2003
"45646","Utah","VegBank",37.7266586034425,-109.804650252812,"Absence of ATTR",2003
"45647","Utah","VegBank",37.7307960129001,-109.805593703972,"Absence of ATTR",2003
"45648","Utah","VegBank",37.7421418970279,-109.823400375327,"Absence of ATTR",2003
"45649","Utah","VegBank",40.7033628371884,-112.914955944295,"Absence of ATTR",2000
"45650","Utah","VegBank",40.7144398153001,-112.928106411332,"Absence of ATTR",2000
"45651","Utah","VegBank",40.771788048592,-112.820339624597,"Absence of ATTR",2000
"45652","Utah","VegBank",40.739041886768,-112.846543377456,"Absence of ATTR",2000
"45653","Utah","VegBank",40.7153700877826,-112.862155631165,"Absence of ATTR",2000
"45654","Utah","VegBank",40.6698751867043,-112.890667220184,"Absence of ATTR",2000
"45655","Utah","VegBank",40.6964247229485,-112.913987916253,"Absence of ATTR",2000
"45656","Utah","VegBank",40.6961368290896,-112.91938843654,"Absence of ATTR",2000
"45657","Utah","VegBank",40.6964768969101,-112.920605411815,"Absence of ATTR",2000
"45658","Utah","VegBank",40.7105515373734,-112.928455900612,"Absence of ATTR",2000
"45659","Utah","VegBank",40.7235244055296,-112.932678452723,"Absence of ATTR",2000
"45660","Utah","VegBank",40.7303621730989,-112.947630731613,"Absence of ATTR",2000
"45661","Utah","VegBank",37.7329126779269,-111.105052374552,"Absence of ATTR",2001
"45662","Utah","VegBank",37.6747369273531,-111.055086234752,"Absence of ATTR",2001
"45663","Utah","VegBank",37.7609286005245,-111.130023509498,"Absence of ATTR",2001
"45664","Utah","VegBank",37.7903319312559,-111.143863481543,"Absence of ATTR",2001
"45665","Utah","VegBank",37.7951526737195,-111.189465728201,"Absence of ATTR",2001
"45666","Utah","VegBank",37.7920984066431,-111.188696930729,"Absence of ATTR",2001
"45667","Utah","VegBank",37.8010430398967,-111.186516004403,"Absence of ATTR",2001
"45668","Utah","VegBank",37.8048102923319,-111.192307701082,"Absence of ATTR",2001
"45669","Utah","VegBank",37.8188308527945,-111.194775609622,"Absence of ATTR",2001
"45670","Utah","VegBank",37.8470379025113,-111.202681332654,"Absence of ATTR",2001
"45671","Utah","VegBank",37.8783831497776,-111.224020064334,"Absence of ATTR",2001
"45672","Utah","VegBank",37.92203480265,-111.232731466706,"Absence of ATTR",2001
"45673","Utah","VegBank",41.2442675853224,-113.364197013257,"Absence of ATTR",2002
"45674","Utah","VegBank",41.2361537545679,-113.327894193091,"Absence of ATTR",2002
"45675","Utah","VegBank",41.2331051788031,-113.327213287178,"Absence of ATTR",2002
"45676","Utah","VegBank",41.2291278360745,-113.338585182923,"Absence of ATTR",2002
"45677","Utah","VegBank",41.2137781469216,-113.317749014554,"Absence of ATTR",2002
"45678","Utah","VegBank",41.1993563798692,-113.352025594744,"Absence of ATTR",2002
"45679","Utah","VegBank",41.190382305274,-113.351740007441,"Absence of ATTR",2002
"45680","Utah","VegBank",41.1863547441617,-113.333663967449,"Absence of ATTR",2002
"45681","Utah","VegBank",41.1886376360591,-113.315168694831,"Absence of ATTR",2002
"45682","Utah","VegBank",41.2004318287017,-113.311827981037,"Absence of ATTR",2002
"45683","Utah","VegBank",41.269692956497,-113.310581726033,"Absence of ATTR",2002
"45684","Utah","VegBank",41.281573876636,-113.348361576609,"Absence of ATTR",2002
"45685","Utah","VegBank",41.3164594052842,-113.566691140036,"Absence of ATTR",2002
"45686","Utah","VegBank",41.3204157705882,-113.614180138565,"Absence of ATTR",2002
"45687","Utah","VegBank",41.3170256151185,-113.639585711094,"Absence of ATTR",2002
"45688","Utah","VegBank",41.420670431848,-113.834874340596,"Absence of ATTR",2002
"45689","Utah","VegBank",41.434463317519,-113.83067582709,"Absence of ATTR",2002
"45690","Utah","VegBank",41.4379641201462,-113.833341322637,"Absence of ATTR",2002
"45691","Utah","VegBank",41.4407325924098,-113.836118835057,"Absence of ATTR",2002
"45692","Utah","VegBank",41.4496577167744,-113.825878195381,"Absence of ATTR",2002
"45693","Utah","VegBank",41.4450237817832,-113.849424217497,"Absence of ATTR",2002
"45694","Utah","VegBank",41.4404011321593,-113.888502379759,"Absence of ATTR",2002
"45695","Utah","VegBank",41.467169597355,-113.896288324499,"Absence of ATTR",2002
"45696","Utah","VegBank",41.480772233052,-113.937324853231,"Absence of ATTR",2002
"45697","Nevada","VegBank",41.4615342855022,-113.942645570393,"Absence of ATTR",2002
"45698","Utah","VegBank",41.4057050656658,-113.953197741824,"Absence of ATTR",2002
"45699","Utah","VegBank",41.4070475771581,-113.906163268367,"Absence of ATTR",2002
"45700","Utah","VegBank",41.4062165150451,-113.898769507855,"Absence of ATTR",2002
"45701","Utah","VegBank",41.3713014758402,-113.904044633508,"Absence of ATTR",2002
"45702","Nevada","VegBank",41.3390822385181,-114.028167569242,"Absence of ATTR",2002
"45703","Nevada","VegBank",41.3336977752241,-114.047896316132,"Absence of ATTR",2002
"45704","Nevada","VegBank",41.3198301743114,-114.076242997525,"Absence of ATTR",2002
"45705","Nevada","VegBank",41.3352215137785,-114.102729631343,"Absence of ATTR",2002
"45706","Nevada","VegBank",41.3656877317689,-114.075283583278,"Absence of ATTR",2002
"45707","Nevada","VegBank",41.3879553402203,-114.042610086177,"Absence of ATTR",2002
"45708","Utah","VegBank",41.3988813838324,-113.940078661242,"Absence of ATTR",2002
"45709","Utah","VegBank",38.6695308274488,-110.163188969189,"Absence of ATTR",2003
"45710","Utah","VegBank",38.7094985906372,-110.148392746319,"Absence of ATTR",2003
"45711","Utah","VegBank",38.7287953117097,-110.135301806003,"Absence of ATTR",2003
"45712","Utah","VegBank",38.7454495740179,-110.14768986192,"Absence of ATTR",2003
"45713","Utah","VegBank",38.753493899515,-110.143589307931,"Absence of ATTR",2003
"45714","Utah","VegBank",38.7645049511181,-110.162081299003,"Absence of ATTR",2003
"45715","Utah","VegBank",38.8751839889509,-110.207288502892,"Absence of ATTR",2003
"45716","Utah","VegBank",38.9016653964034,-110.19632682828,"Absence of ATTR",2003
"45717","Utah","VegBank",38.940796508959,-110.190404638382,"Absence of ATTR",2003
"45718","Utah","VegBank",38.9625131192533,-110.189038097327,"Absence of ATTR",2003
"45719","Utah","VegBank",38.9580099390164,-110.202443071349,"Absence of ATTR",2003
"45720","Utah","VegBank",38.9600152902086,-110.229948225544,"Absence of ATTR",2003
"45721","Utah","VegBank",38.9603994587182,-110.267144396549,"Absence of ATTR",2003
"45722","Utah","VegBank",38.9485778022603,-110.280341237691,"Absence of ATTR",2003
"45723","Utah","VegBank",38.9161161842211,-110.309691286694,"Absence of ATTR",2003
"45724","Utah","VegBank",38.870595761321,-110.369557371473,"Absence of ATTR",2003
"45725","Utah","VegBank",38.9491512500755,-110.373317031253,"Absence of ATTR",2003
"45726","Utah","VegBank",38.9812340734191,-110.350705084965,"Absence of ATTR",2003
"45727","Utah","VegBank",38.9779902004308,-110.328510304956,"Absence of ATTR",2003
"45728","Utah","VegBank",38.9744726205626,-110.301933298624,"Absence of ATTR",2003
"45729","Utah","VegBank",38.9719361357342,-110.266067475587,"Absence of ATTR",2003
"45730","Utah","VegBank",38.9857493375787,-110.264470166306,"Absence of ATTR",2003
"45731","Utah","VegBank",37.7115604666504,-109.802703253216,"Absence of ATTR",2003
"45732","Utah","VegBank",37.7068742858423,-109.80808767156,"Absence of ATTR",2003
"45733","Utah","VegBank",37.6937611636248,-109.811711554143,"Absence of ATTR",2003
"45734","Utah","VegBank",37.6906956458454,-109.807133082194,"Absence of ATTR",2003
"45735","Utah","VegBank",37.6886955505466,-109.80899106754,"Absence of ATTR",2003
"45736","Utah","VegBank",37.6774982273577,-109.804203316873,"Absence of ATTR",2003
"45737","Utah","VegBank",37.6806879811364,-109.788230642448,"Absence of ATTR",2003
"45738","Utah","VegBank",37.6811080017892,-109.769603315002,"Absence of ATTR",2003
